Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s1 
Train 1, 86.1642, 110.9012, 49.4741, 29.6450, 39.7831, 20.2761, 56.5191, 71.1181, 29.1980
Test 1, 64.9160, 104.2206, 78.6093, 20.4978, 34.2853, 27.5750, 44.4181, 69.9353, 51.0343 
Train 2, 62.1774, 105.7467, 87.1386, 18.9828, 34.0520, 30.1384, 43.1946, 71.6947, 57.0002
Test 2, 57.7371, 104.0504, 92.6265, 17.2554, 33.2936, 32.0764, 40.4817, 70.7568, 60.5501 
Train 3, 56.8403, 104.6937, 95.7068, 16.5774, 32.8578, 32.5607, 40.2629, 71.8359, 63.1460
Test 3, 54.2680, 102.8449, 97.1538, 15.8732, 32.2074, 32.6685, 38.3948, 70.6375, 64.4853 
Train 4, 53.7217, 102.8656, 98.2877, 15.3358, 31.4308, 32.1901, 38.3860, 71.4348, 66.0977
Test 4, 52.3639, 101.1279, 97.5281, 15.1291, 30.9255, 31.5928, 37.2348, 70.2024, 65.9353 
Train 5, 51.5029, 101.0113, 99.0167, 14.5570, 30.0554, 30.9969, 36.9460, 70.9559, 68.0199
Test 5, 50.8521, 99.8620, 98.0198, 14.5388, 29.7180, 30.3584, 36.3133, 70.1440, 67.6613 
Train 6, 49.6834, 99.0534, 98.7401, 13.8659, 28.6772, 29.6225, 35.8174, 70.3762, 69.1175
Test 6, 49.1937, 97.6016, 96.8158, 13.8231, 28.2968, 28.9473, 35.3706, 69.3048, 67.8685 
Train 7, 47.6469, 96.3862, 97.4784, 13.1363, 27.2498, 28.2271, 34.5107, 69.1363, 69.2513
Test 7, 47.6224, 95.2359, 95.2271, 13.1827, 26.9419, 27.5184, 34.4397, 68.2940, 67.7086 
Train 8, 46.0398, 93.5717, 95.0637, 12.5069, 25.9207, 26.8276, 33.5329, 67.6510, 68.2362
Test 8, 46.6700, 93.0432, 92.7463, 12.6874, 25.7646, 26.1543, 33.9826, 67.2786, 66.5920 
Train 9, 44.3997, 90.7300, 92.6606, 11.9646, 24.7198, 25.5105, 32.4351, 66.0102, 67.1502
Test 9, 45.6376, 90.3397, 89.4042, 12.2716, 24.7300, 24.9169, 33.3660, 65.6097, 64.4873 
Train 10, 42.7748, 87.5580, 89.5664, 11.4786, 23.6706, 24.3839, 31.2962, 63.8874, 65.1825
Test 10, 44.8386, 88.4254, 87.1736, 11.8443, 23.7884, 23.8882, 32.9942, 64.6369, 63.2854 
Train 11, 41.5610, 84.6751, 86.2281, 11.0261, 22.7600, 23.4679, 30.5349, 61.9150, 62.7602
Test 11, 44.2932, 86.3156, 84.0449, 11.4241, 22.9363, 23.0244, 32.8691, 63.3793, 61.0205 
Train 12, 40.3450, 81.9544, 83.2188, 10.6554, 21.9660, 22.6211, 29.6896, 59.9884, 60.5977
Test 12, 43.7963, 83.6843, 79.7759, 11.0894, 22.2135, 22.2482, 32.7069, 61.4708, 57.5277 
Train 13, 39.2992, 79.5993, 80.6001, 10.3454, 21.2864, 21.8820, 28.9539, 58.3129, 58.7181
Test 13, 43.4069, 82.4935, 78.1733, 10.7877, 21.5570, 21.5387, 32.6192, 60.9365, 56.6346 
Train 14, 38.3184, 77.1687, 77.7006, 10.0518, 20.6598, 21.2160, 28.2666, 56.5089, 56.4845
Test 14, 42.9763, 81.1696, 76.3866, 10.5050, 20.9800, 20.9500, 32.4712, 60.1896, 55.4366 
Train 15, 37.5140, 75.0894, 75.1508, 9.7915, 20.1219, 20.6607, 27.7225, 54.9675, 54.4901
Test 15, 42.8728, 79.6587, 73.5716, 10.2416, 20.4406, 20.3980, 32.6312, 59.2181, 53.1736 
Train 16, 36.7389, 73.3127, 73.1474, 9.5629, 19.6410, 20.1562, 27.1760, 53.6716, 52.9912
Test 16, 42.6609, 79.0898, 72.8578, 10.0865, 20.0314, 19.8898, 32.5744, 59.0584, 52.9680 
Train 17, 35.8616, 71.8626, 72.0020, 9.3359, 19.1393, 19.6070, 26.5257, 52.7233, 52.3951
Test 17, 42.4852, 77.6602, 70.3499, 9.8255, 19.5022, 19.3534, 32.6597, 58.1580, 50.9966 
Train 18, 35.2352, 70.1761, 69.8819, 9.1332, 18.6901, 19.1138, 26.1020, 51.4860, 50.7681
Test 18, 42.2774, 76.5800, 68.6052, 9.5663, 19.0166, 18.9005, 32.7111, 57.5635, 49.7047 
Train 19, 34.5865, 68.6258, 68.0786, 8.9585, 18.3170, 18.7170, 25.6280, 50.3088, 49.3616
Test 19, 42.2254, 75.9632, 67.4756, 9.4030, 18.6667, 18.5273, 32.8224, 57.2965, 48.9482 
Train 20, 33.9780, 67.5008, 67.0456, 8.8015, 17.9805, 18.3579, 25.1765, 49.5203, 48.6877
Test 20, 42.1433, 75.4009, 66.5153, 9.2673, 18.3566, 18.1786, 32.8760, 57.0443, 48.3367 
Train 21, 33.4335, 66.4187, 65.9704, 8.6578, 17.6560, 17.9963, 24.7757, 48.7628, 47.9741
Test 21, 42.2950, 74.7078, 64.8257, 9.0996, 18.0218, 17.8443, 33.1953, 56.6860, 46.9814 
Train 22, 32.8978, 65.2377, 64.6797, 8.5198, 17.3575, 17.6754, 24.3780, 47.8802, 47.0043
Test 22, 42.2676, 74.4348, 64.3344, 8.9455, 17.6951, 17.4992, 33.3221, 56.7397, 46.8353 
Train 23, 32.3741, 64.1120, 63.4757, 8.4040, 17.0850, 17.3620, 23.9701, 47.0270, 46.1137
Test 23, 42.1503, 73.7658, 63.2311, 8.8472, 17.4638, 17.2332, 33.3031, 56.3021, 45.9979 
Train 24, 31.9182, 63.2975, 62.7586, 8.2995, 16.8612, 17.1234, 23.6187, 46.4363, 45.6352
Test 24, 42.0840, 73.2107, 62.2533, 8.7162, 17.2114, 16.9904, 33.3678, 55.9993, 45.2628 
Train 25, 31.4912, 62.3984, 61.8144, 8.1991, 16.6410, 16.8838, 23.2921, 45.7574, 44.9306
Test 25, 42.2909, 73.1446, 61.7073, 8.5873, 16.9703, 16.7661, 33.7036, 56.1743, 44.9412 
Train 26, 31.0902, 61.5444, 60.9084, 8.1102, 16.4326, 16.6447, 22.9800, 45.1118, 44.2637
Test 26, 42.1044, 72.4560, 60.7033, 8.4487, 16.7218, 16.5463, 33.6557, 55.7342, 44.1570 
Train 27, 30.6370, 60.7908, 60.3076, 8.0175, 16.2373, 16.4396, 22.6195, 44.5535, 43.8680
Test 27, 42.1384, 72.2385, 60.2003, 8.3484, 16.5190, 16.3413, 33.7900, 55.7195, 43.8590 
Train 28, 30.3425, 60.1467, 59.6082, 7.9390, 16.0582, 16.2385, 22.4036, 44.0884, 43.3697
