Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 1, 75.6141, 94.7385, 77.2722, 22.4429, 36.0976, 27.3094, 33.6595, 58.6409, 49.9628
Test 1, 40.6607, 79.6991, 78.0768, 15.7841, 30.6324, 29.6966, 24.8765, 49.0666, 48.3802 
Train 2, 52.2719, 75.6829, 74.4390, 14.5394, 28.5827, 28.0865, 23.9240, 47.1002, 46.3525
Test 2, 37.0281, 73.1228, 72.1895, 13.6922, 26.9519, 26.5195, 23.3359, 46.1709, 45.6700 
Train 3, 48.8202, 70.7023, 70.1125, 12.6607, 25.3124, 25.3035, 22.9853, 45.3899, 44.8090
Test 3, 34.7951, 68.9543, 68.3185, 12.0957, 24.1314, 24.0713, 22.6993, 44.8229, 44.2471 
Train 4, 46.6787, 67.2875, 66.9400, 11.3321, 22.7944, 22.9246, 22.4854, 44.4931, 44.0153
Test 4, 33.2671, 66.0819, 65.6295, 10.9168, 21.8435, 21.8534, 22.3502, 44.2383, 43.7761 
Train 5, 45.2386, 64.7309, 64.3552, 10.3674, 20.8835, 21.0323, 22.1859, 43.8474, 43.3229
Test 5, 32.3085, 64.0362, 63.4553, 10.2078, 20.3657, 20.3157, 22.1007, 43.6705, 43.1396 
Train 6, 44.3330, 63.2101, 62.8682, 9.8141, 19.6940, 19.7599, 21.9619, 43.5161, 43.1083
Test 6, 31.9532, 63.1189, 62.3315, 10.0214, 19.6838, 19.3247, 21.9317, 43.4351, 43.0068 
Train 7, 43.7079, 62.0811, 61.7162, 9.3869, 18.8614, 18.9490, 21.8361, 43.2197, 42.7672
Test 7, 31.4273, 62.1185, 61.3824, 9.5901, 18.8907, 18.6013, 21.8372, 43.2278, 42.7811 
Train 8, 43.0494, 60.9321, 60.5844, 8.9446, 18.0048, 18.1203, 21.6953, 42.9273, 42.4641
Test 8, 30.9649, 61.2577, 60.5856, 9.2430, 18.1194, 17.7528, 21.7219, 43.1383, 42.8328 
Train 9, 42.5041, 60.0109, 59.7124, 8.5805, 17.2429, 17.3247, 21.5742, 42.7680, 42.3877
Test 9, 30.7531, 60.5414, 59.5766, 9.1137, 17.6327, 17.0381, 21.6394, 42.9086, 42.5385 
Train 10, 42.0408, 59.2275, 58.9700, 8.2740, 16.6162, 16.6843, 21.4685, 42.6113, 42.2856
