Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 1, 89.8832, 103.2996, 73.0786, 26.7122, 38.7114, 23.9982, 40.0480, 64.5882, 49.0803
Test 1, 45.2727, 87.8902, 85.2349, 17.7328, 33.2804, 31.0953, 27.5400, 54.6098, 54.1396 
Train 2, 56.6718, 81.2797, 79.1662, 16.0747, 30.8833, 29.6172, 25.6219, 50.3964, 49.5490
Test 2, 39.1683, 76.9823, 75.6280, 14.8154, 28.8776, 28.1244, 24.3529, 48.1047, 47.5036 
Train 3, 52.0166, 74.9808, 73.6532, 14.2345, 27.9293, 27.3896, 23.9197, 47.0515, 46.2637
Test 3, 37.0964, 73.1046, 72.0164, 13.5964, 26.8442, 26.4957, 23.5000, 46.2604, 45.5208 
Train 4, 49.7961, 71.8211, 70.9674, 13.0373, 25.8800, 25.6854, 23.3001, 45.9411, 45.2820
Test 4, 35.5570, 70.4880, 69.8620, 12.5062, 24.8662, 24.7199, 23.0508, 45.6218, 45.1421 
Train 5, 48.1492, 69.2857, 68.6238, 12.0808, 24.1127, 24.0639, 22.8930, 45.1730, 44.5599
Test 5, 34.4272, 68.2054, 67.5564, 11.7184, 23.3833, 23.3299, 22.7088, 44.8220, 44.2265 
Train 6, 46.8947, 67.3786, 66.9097, 11.3373, 22.7259, 22.7772, 22.5864, 44.6527, 44.1325
Test 6, 33.5894, 66.6745, 66.1703, 11.1422, 22.2173, 22.1502, 22.4472, 44.4572, 44.0200 
Train 7, 45.9149, 65.8012, 65.4407, 10.7035, 21.5436, 21.6802, 22.3774, 44.2576, 43.7604
Test 7, 32.8144, 65.2622, 64.8957, 10.4987, 21.1122, 21.2269, 22.3156, 44.1500, 43.6687 
Train 8, 45.0867, 64.4518, 64.1525, 10.1885, 20.5381, 20.6992, 22.1870, 43.9137, 43.4533
Test 8, 32.2192, 64.1829, 63.9274, 10.0283, 20.1553, 20.2541, 22.1909, 44.0275, 43.6733 
Train 9, 44.4305, 63.3512, 63.0768, 9.7621, 19.6859, 19.8476, 22.0507, 43.6653, 43.2292
Test 9, 31.8143, 63.1626, 62.6965, 9.8056, 19.5366, 19.4622, 22.0088, 43.6259, 43.2343 
Train 10, 43.8666, 62.4567, 62.2365, 9.4170, 18.9848, 19.1356, 21.9215, 43.4719, 43.1008
Test 10, 31.6101, 62.6235, 62.0267, 9.5868, 18.9796, 18.7856, 22.0234, 43.6439, 43.2411 
Train 11, 43.4064, 61.6986, 61.4950, 9.1346, 18.3711, 18.4729, 21.8165, 43.3275, 43.0221
Test 11, 31.2501, 61.8623, 61.2244, 9.3108, 18.4148, 18.2080, 21.9393, 43.4475, 43.0165 
Train 12, 42.9772, 60.9988, 60.8266, 8.8614, 17.8234, 17.9240, 21.7240, 43.1754, 42.9026
Test 12, 30.9461, 61.1884, 60.4846, 9.0478, 17.8667, 17.6378, 21.8982, 43.3216, 42.8468 
Train 13, 42.6212, 60.3376, 60.1221, 8.6224, 17.3265, 17.4082, 21.6542, 43.0111, 42.7139
Test 13, 30.6277, 60.5238, 59.7922, 8.8350, 17.4160, 17.1620, 21.7927, 43.1078, 42.6302 
Train 14, 42.2709, 59.7767, 59.5941, 8.4120, 16.8872, 16.9504, 21.5677, 42.8896, 42.6437
Test 14, 30.3919, 60.0639, 59.3440, 8.7099, 17.0782, 16.7366, 21.6819, 42.9857, 42.6075 
Train 15, 41.9833, 59.2568, 59.0537, 8.2226, 16.5181, 16.5909, 21.5073, 42.7387, 42.4628
Test 15, 30.1400, 59.6850, 59.0900, 8.4540, 16.6642, 16.4203, 21.6859, 43.0208, 42.6697 
Train 16, 41.7468, 58.8213, 58.5987, 8.0614, 16.1810, 16.2392, 21.4606, 42.6404, 42.3595
Test 16, 29.9815, 59.2375, 58.5121, 8.2661, 16.2901, 16.0480, 21.7154, 42.9474, 42.4641 
Train 17, 41.4958, 58.3999, 58.1962, 7.8919, 15.8450, 15.9062, 21.4099, 42.5549, 42.2900
Test 17, 29.8083, 58.8477, 58.0788, 8.1470, 16.0079, 15.7217, 21.6613, 42.8399, 42.3571 
Train 18, 41.2391, 58.0097, 57.8482, 7.7446, 15.5340, 15.5789, 21.3410, 42.4757, 42.2693
Test 18, 29.5228, 58.4406, 57.8355, 7.9345, 15.6466, 15.4244, 21.5884, 42.7940, 42.4112 
Train 19, 41.0372, 57.6305, 57.4398, 7.6160, 15.2669, 15.3017, 21.2946, 42.3636, 42.1381
Test 19, 29.4169, 58.1287, 57.4237, 7.8739, 15.4537, 15.1598, 21.5430, 42.6750, 42.2639 
Train 20, 40.8605, 57.3115, 57.1075, 7.5018, 15.0292, 15.0548, 21.2559, 42.2823, 42.0527
Test 20, 29.3170, 57.8218, 57.0097, 7.8174, 15.2794, 14.9242, 21.4996, 42.5424, 42.0855 
Train 21, 40.6463, 57.0359, 56.9107, 7.3861, 14.7931, 14.8142, 21.1945, 42.2427, 42.0966
Test 21, 29.1139, 57.5551, 56.8825, 7.6312, 14.9826, 14.7029, 21.4827, 42.5725, 42.1797 
Train 22, 40.4971, 56.7109, 56.5222, 7.2859, 14.5849, 14.5980, 21.1639, 42.1261, 41.9242
Test 22, 29.1128, 57.3603, 56.4950, 7.6118, 14.8555, 14.4873, 21.5010, 42.5048, 42.0077 
Train 23, 40.3386, 56.4482, 56.2676, 7.1877, 14.3845, 14.3936, 21.1267, 42.0637, 41.8741
Test 23, 28.9037, 56.9506, 56.0937, 7.4481, 14.5925, 14.2888, 21.4556, 42.3580, 41.8049 
Train 24, 40.1891, 56.2077, 56.0383, 7.1006, 14.1964, 14.1917, 21.0880, 42.0113, 41.8466
Test 24, 28.8931, 56.8554, 55.9246, 7.4935, 14.5744, 14.1618, 21.3996, 42.2811, 41.7629 
Train 25, 40.0509, 55.9592, 55.7745, 7.0175, 14.0357, 14.0365, 21.0545, 41.9235, 41.7380
Test 25, 28.6678, 56.5185, 55.7016, 7.2682, 14.2341, 13.9319, 21.3996, 42.2844, 41.7697 
Train 26, 39.9479, 55.6917, 55.4256, 6.9368, 13.8601, 13.8466, 21.0420, 41.8315, 41.5790
Test 26, 28.6307, 56.2765, 55.2917, 7.2267, 14.1400, 13.8265, 21.4039, 42.1366, 41.4652 
Train 27, 39.7964, 55.5313, 55.3439, 6.8709, 13.7386, 13.7353, 20.9884, 41.7927, 41.6086
Test 27, 28.5736, 56.2567, 55.3663, 7.1955, 14.0218, 13.6525, 21.3780, 42.2349, 41.7138 
Train 28, 39.6736, 55.3571, 55.2041, 6.7958, 13.5965, 13.6014, 20.9593, 41.7606, 41.6027
Test 28, 28.5127, 56.0692, 55.1131, 7.1528, 13.9215, 13.5376, 21.3599, 42.1477, 41.5755 
Train 29, 39.6097, 55.1459, 54.9003, 6.7384, 13.4793, 13.4819, 20.9574, 41.6666, 41.4184
Test 29, 28.4575, 55.8894, 54.8637, 7.0612, 13.7915, 13.4607, 21.3963, 42.0979, 41.4031 
Train 30, 39.4846, 54.9804, 54.7731, 6.6745, 13.3630, 13.3771, 20.9194, 41.6174, 41.3961
Test 30, 28.4339, 55.8166, 54.7653, 7.0903, 13.7310, 13.2814, 21.3436, 42.0856, 41.4840 
Train 31, 39.3591, 54.8316, 54.6735, 6.6204, 13.2277, 13.2147, 20.8744, 41.6038, 41.4588
Test 31, 28.1832, 55.5449, 54.7234, 6.9101, 13.4950, 13.1696, 21.2730, 42.0499, 41.5538 
Train 32, 39.2730, 54.6524, 54.4694, 6.5545, 13.1075, 13.1060, 20.8632, 41.5449, 41.3634
Test 32, 28.2011, 55.4426, 54.4830, 6.9030, 13.4432, 13.0804, 21.2980, 41.9994, 41.4026 
Train 33, 39.1820, 54.4803, 54.2742, 6.5048, 12.9937, 12.9777, 20.8384, 41.4866, 41.2965
Test 33, 28.0117, 55.1543, 54.2853, 6.7690, 13.2280, 12.9178, 21.2427, 41.9264, 41.3674 
Train 34, 39.0805, 54.3391, 54.1568, 6.4506, 12.8939, 12.8867, 20.8102, 41.4452, 41.2700
Test 34, 27.9987, 55.0086, 54.0198, 6.7533, 13.1784, 12.8502, 21.2454, 41.8302, 41.1696 
Train 35, 38.9791, 54.2024, 54.0437, 6.4051, 12.7847, 12.7590, 20.7754, 41.4177, 41.2847
Test 35, 27.8481, 54.8676, 54.0390, 6.6074, 12.9658, 12.7169, 21.2408, 41.9018, 41.3221 
Train 36, 38.8977, 54.0454, 53.8664, 6.3559, 12.7010, 12.6904, 20.7563, 41.3443, 41.1760
Test 36, 27.8986, 54.7890, 53.7810, 6.6323, 12.9585, 12.6525, 21.2662, 41.8305, 41.1285 
Train 37, 38.8298, 53.9355, 53.7559, 6.3192, 12.6277, 12.6170, 20.7383, 41.3078, 41.1389
Test 37, 27.7726, 54.6934, 53.8416, 6.4959, 12.7903, 12.5888, 21.2767, 41.9031, 41.2528 
Train 38, 38.7394, 53.8108, 53.6496, 6.2746, 12.5470, 12.5448, 20.7114, 41.2638, 41.1048
Test 38, 27.8779, 54.6058, 53.4559, 6.6274, 12.8843, 12.5139, 21.2505, 41.7215, 40.9420 
