Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 1, 75.7255, 94.7504, 77.1471, 22.4438, 36.0570, 27.2265, 33.7331, 58.6935, 49.9206
Test 1, 40.7804, 79.6692, 77.7777, 15.9660, 30.8423, 29.7526, 24.8144, 48.8269, 48.0251 
Train 2, 52.1921, 75.5488, 74.3070, 14.4895, 28.4925, 28.0060, 23.9057, 47.0563, 46.3010
Test 2, 36.8251, 73.0216, 72.3929, 13.6081, 26.9470, 26.6778, 23.2170, 46.0745, 45.7151 
Train 3, 48.7969, 70.6275, 70.0082, 12.6397, 25.2866, 25.2938, 22.9838, 45.3409, 44.7144
Test 3, 34.8713, 68.9755, 68.2083, 12.1375, 24.1457, 24.0164, 22.7338, 44.8297, 44.1919 
Train 4, 46.6468, 67.2881, 66.9775, 11.3378, 22.8086, 22.9416, 22.4615, 44.4795, 44.0359
Test 4, 33.4793, 66.4035, 65.8484, 11.1448, 22.1578, 22.0259, 22.3345, 44.2457, 43.8225 
Train 5, 45.2662, 64.8894, 64.5845, 10.4363, 21.0286, 21.1846, 22.1609, 43.8608, 43.3999
Test 5, 32.4855, 64.3865, 63.8018, 10.3861, 20.6354, 20.4986, 22.0995, 43.7511, 43.3032 
Train 6, 44.3358, 63.1672, 62.7815, 9.8047, 19.7075, 19.8055, 21.9717, 43.4597, 42.9760
Test 6, 31.7759, 62.7997, 62.0475, 9.8614, 19.5601, 19.3973, 21.9145, 43.2396, 42.6502 
Train 7, 43.6153, 61.9611, 61.6265, 9.3349, 18.7810, 18.8923, 21.8130, 43.1801, 42.7342
Test 7, 31.4416, 61.9514, 61.0195, 9.6540, 18.8370, 18.3659, 21.7876, 43.1144, 42.6536 
Train 8, 42.9804, 60.9328, 60.6761, 8.9267, 17.9392, 18.0252, 21.6681, 42.9935, 42.6509
Test 8, 31.2525, 61.2773, 60.0496, 9.4322, 18.2619, 17.6593, 21.8203, 43.0155, 42.3904 
Train 9, 42.5069, 59.9864, 59.6383, 8.5902, 17.2391, 17.2978, 21.5770, 42.7473, 42.3405
