Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 1, 89.8410, 103.2511, 73.0835, 26.6538, 38.5900, 23.8723, 40.0555, 64.6612, 49.2112
Test 1, 45.4642, 87.8452, 84.7620, 17.8790, 33.3813, 31.0047, 27.5852, 54.4639, 53.7573 
Train 2, 56.6241, 81.1882, 79.0776, 16.0408, 30.8297, 29.5778, 25.6086, 50.3585, 49.4998
Test 2, 39.2468, 77.1416, 75.7896, 14.9492, 29.0938, 28.2892, 24.2976, 48.0478, 47.5004 
Train 3, 52.0132, 74.9523, 73.6112, 14.2292, 27.9180, 27.3775, 23.9175, 47.0344, 46.2338
Test 3, 37.0961, 73.1734, 72.1544, 13.5475, 26.7942, 26.4934, 23.5486, 46.3791, 45.6610 
Train 4, 49.7913, 71.8589, 71.0507, 13.0485, 25.8985, 25.7000, 23.2850, 45.9604, 45.3507
Test 4, 35.6321, 70.6045, 69.9449, 12.6027, 25.0316, 24.8579, 23.0294, 45.5729, 45.0871 
Train 5, 48.1504, 69.3315, 68.7190, 12.0892, 24.1745, 24.1704, 22.8827, 45.1570, 44.5486
Test 5, 34.3824, 68.3438, 67.9229, 11.6657, 23.4158, 23.5002, 22.7167, 44.9280, 44.4227 
Train 6, 46.8891, 67.3381, 66.8683, 11.3086, 22.7010, 22.7849, 22.5954, 44.6371, 44.0833
Test 6, 33.4983, 66.5137, 66.0307, 11.0336, 22.1437, 22.2202, 22.4648, 44.3700, 43.8105 
Train 7, 45.8775, 65.7342, 65.3882, 10.6733, 21.4881, 21.6296, 22.3668, 44.2461, 43.7586
Test 7, 32.7803, 65.1004, 64.6402, 10.4788, 20.9947, 21.0317, 22.3015, 44.1057, 43.6085 
Train 8, 45.0419, 64.4369, 64.2080, 10.1588, 20.4774, 20.6374, 22.1742, 43.9595, 43.5706
Test 8, 32.3018, 64.0561, 63.5087, 10.0512, 20.1368, 20.1712, 22.2506, 43.9194, 43.3375 
Train 9, 44.4130, 63.2622, 62.9458, 9.7333, 19.6221, 19.7775, 22.0559, 43.6401, 43.1683
Test 9, 31.9409, 63.1540, 62.4263, 9.7843, 19.4726, 19.3767, 22.1566, 43.6814, 43.0495 
Train 10, 43.8074, 62.3601, 62.1430, 9.3916, 18.8926, 19.0021, 21.8970, 43.4675, 43.1409
Test 10, 31.5915, 62.5084, 61.8338, 9.6246, 18.9440, 18.6388, 21.9670, 43.5645, 43.1950 
Train 11, 43.4231, 61.5709, 61.2388, 9.1098, 18.3025, 18.3854, 21.8417, 43.2684, 42.8534
Test 11, 31.1883, 61.6623, 60.9480, 9.3302, 18.3971, 18.1337, 21.8581, 43.2653, 42.8143 
Train 12, 43.0144, 60.9632, 60.7145, 8.8561, 17.8248, 17.9373, 21.7498, 43.1384, 42.7771
Test 12, 30.8730, 61.0943, 60.4425, 9.0219, 17.8453, 17.6468, 21.8511, 43.2490, 42.7956 
Train 13, 42.6386, 60.3159, 60.0644, 8.6131, 17.3005, 17.3749, 21.6706, 43.0153, 42.6895
Test 13, 30.6435, 60.6452, 60.0035, 8.8598, 17.4433, 17.1669, 21.7836, 43.2019, 42.8366 
Train 14, 42.3096, 59.7456, 59.4832, 8.4115, 16.8869, 16.9507, 21.5924, 42.8587, 42.5325
Test 14, 30.4349, 60.1200, 59.3702, 8.6822, 17.0712, 16.7780, 21.7527, 43.0488, 42.5922 
Train 15, 41.9900, 59.2663, 59.0687, 8.2170, 16.5141, 16.5942, 21.5148, 42.7521, 42.4746
Test 15, 30.0521, 59.5693, 59.0343, 8.3667, 16.5866, 16.4399, 21.6854, 42.9827, 42.5945 
Train 16, 41.7047, 58.8195, 58.6612, 8.0480, 16.1643, 16.2326, 21.4409, 42.6552, 42.4286
Test 16, 29.9192, 59.1698, 58.5012, 8.2658, 16.2959, 16.0603, 21.6534, 42.8739, 42.4408 
Train 17, 41.4570, 58.3811, 58.2152, 7.8892, 15.8186, 15.8588, 21.3843, 42.5625, 42.3564
Test 17, 29.7420, 58.7636, 58.0431, 8.0887, 15.9067, 15.6362, 21.6534, 42.8568, 42.4069 
Train 18, 41.2687, 57.9525, 57.6974, 7.7471, 15.5124, 15.5305, 21.3567, 42.4402, 42.1669
Test 18, 29.6370, 58.4661, 57.6581, 8.0620, 15.7769, 15.4298, 21.5750, 42.6892, 42.2283 
Train 19, 41.0145, 57.6199, 57.4518, 7.6140, 15.2647, 15.3012, 21.2799, 42.3552, 42.1506
Test 19, 29.3385, 58.0930, 57.5090, 7.8392, 15.4162, 15.1541, 21.4993, 42.6768, 42.3550 
Train 20, 40.8393, 57.2811, 57.0920, 7.4822, 14.9780, 14.9917, 21.2529, 42.3031, 42.1003
Test 20, 29.1782, 57.6428, 56.9292, 7.7286, 15.1570, 14.8568, 21.4496, 42.4858, 42.0724 
Train 21, 40.6844, 56.9576, 56.7131, 7.3801, 14.7760, 14.7917, 21.2209, 42.1816, 41.9213
Test 21, 29.1255, 57.4429, 56.6348, 7.5767, 14.9286, 14.7039, 21.5488, 42.5143, 41.9310 
Train 22, 40.5095, 56.6932, 56.4813, 7.2731, 14.5584, 14.5706, 21.1794, 42.1347, 41.9107
Test 22, 29.0363, 57.2772, 56.4817, 7.5733, 14.8112, 14.4758, 21.4630, 42.4659, 42.0059 
Train 23, 40.3535, 56.4409, 56.2368, 7.1862, 14.3867, 14.4010, 21.1363, 42.0542, 41.8358
Test 23, 28.8766, 57.0675, 56.3818, 7.4861, 14.6480, 14.3239, 21.3905, 42.4195, 42.0579 
Train 24, 40.1847, 56.1780, 55.9967, 7.0867, 14.1843, 14.1951, 21.0929, 41.9937, 41.8016
Test 24, 28.8925, 56.8199, 55.8547, 7.4618, 14.4829, 14.0423, 21.4307, 42.3369, 41.8125 
Train 25, 40.0718, 55.9707, 55.7771, 7.0127, 14.0226, 14.0199, 21.0694, 41.9480, 41.7572
Test 25, 28.7952, 56.6838, 55.7772, 7.3711, 14.3505, 13.9589, 21.4241, 42.3333, 41.8183 
Train 26, 39.9330, 55.7362, 55.5433, 6.9283, 13.8732, 13.8896, 21.0362, 41.8630, 41.6537
Test 26, 28.5691, 56.3717, 55.6051, 7.2088, 14.1221, 13.8267, 21.3603, 42.2495, 41.7785 
Train 27, 39.8149, 55.5221, 55.3139, 6.8589, 13.7210, 13.7244, 21.0063, 41.8011, 41.5895
Test 27, 28.6086, 56.3416, 55.4660, 7.2886, 14.1318, 13.6863, 21.3200, 42.2099, 41.7797 
Train 28, 39.6793, 55.3328, 55.1562, 6.7895, 13.5836, 13.5883, 20.9652, 41.7491, 41.5679
Test 28, 28.4558, 55.9912, 55.0708, 7.0992, 13.8590, 13.5195, 21.3566, 42.1322, 41.5512 
Train 29, 39.5623, 55.1577, 55.0039, 6.7179, 13.4432, 13.4506, 20.9378, 41.7144, 41.5533
Test 29, 28.3453, 55.8612, 55.0317, 7.0479, 13.7424, 13.3891, 21.2974, 42.1187, 41.6426 
Train 30, 39.4769, 54.9726, 54.7804, 6.6611, 13.3001, 13.2780, 20.9213, 41.6725, 41.5024
Test 30, 28.4213, 55.7790, 54.7155, 7.1291, 13.7550, 13.2517, 21.2921, 42.0241, 41.4639 
Train 31, 39.3387, 54.8153, 54.6893, 6.5940, 13.1913, 13.1947, 20.8767, 41.6240, 41.4946
Test 31, 28.1503, 55.4656, 54.6307, 6.8813, 13.4581, 13.1536, 21.2690, 42.0075, 41.4771 
Train 32, 39.2457, 54.6352, 54.4831, 6.5415, 13.0949, 13.1069, 20.8522, 41.5403, 41.3762
Test 32, 28.1323, 55.4119, 54.5591, 6.8595, 13.3631, 13.0074, 21.2729, 42.0488, 41.5518 
Train 33, 39.1957, 54.4525, 54.2173, 6.4857, 12.9592, 12.9469, 20.8581, 41.4933, 41.2704
Test 33, 27.9862, 55.1712, 54.3700, 6.8039, 13.2721, 12.9364, 21.1824, 41.8991, 41.4335 
Train 34, 39.0933, 54.3144, 54.1067, 6.4335, 12.8713, 12.8755, 20.8275, 41.4431, 41.2312
Test 34, 28.1557, 55.2238, 54.1363, 6.8607, 13.2473, 12.7732, 21.2950, 41.9765, 41.3631 
Train 35, 38.9919, 54.1608, 53.9593, 6.3869, 12.7621, 12.7504, 20.7943, 41.3987, 41.2089
Test 35, 27.8813, 54.8791, 53.9956, 6.6343, 12.9901, 12.7115, 21.2470, 41.8890, 41.2841 
Train 36, 38.9246, 54.0189, 53.7914, 6.3371, 12.6759, 12.6777, 20.7861, 41.3430, 41.1137
Test 36, 27.8675, 54.8119, 53.8887, 6.6296, 12.9423, 12.6254, 21.2380, 41.8696, 41.2633 
Train 37, 38.8160, 53.9183, 53.7563, 6.2944, 12.5700, 12.5511, 20.7457, 41.3483, 41.2052
Test 37, 27.8194, 54.7674, 53.8959, 6.6418, 12.9138, 12.5438, 21.1776, 41.8536, 41.3520 
Train 38, 38.7719, 53.7861, 53.5719, 6.2551, 12.4919, 12.4738, 20.7451, 41.2941, 41.0981
Test 38, 27.7947, 54.5692, 53.5491, 6.6111, 12.8428, 12.4634, 21.1836, 41.7265, 41.0857 
Train 39, 38.6841, 53.6559, 53.4508, 6.2125, 12.4164, 12.4077, 20.7180, 41.2395, 41.0431
Test 39, 27.9065, 54.6565, 53.4999, 6.7464, 12.9099, 12.3271, 21.1601, 41.7466, 41.1728 
Train 40, 38.5846, 53.5487, 53.3880, 6.1731, 12.3232, 12.3003, 20.6817, 41.2255, 41.0877
Test 40, 27.6584, 54.3871, 53.4575, 6.4783, 12.6085, 12.2604, 21.1801, 41.7786, 41.1970 
Train 41, 38.5411, 53.4422, 53.2494, 6.1385, 12.2444, 12.2117, 20.6790, 41.1978, 41.0376
Test 41, 27.6550, 54.2421, 53.1742, 6.4806, 12.5661, 12.1710, 21.1744, 41.6760, 41.0032 
Train 42, 38.4473, 53.3309, 53.1662, 6.1073, 12.1931, 12.1715, 20.6405, 41.1379, 40.9947
Test 42, 27.5641, 54.1829, 53.2376, 6.4812, 12.5560, 12.1496, 21.0828, 41.6269, 41.0880 
Train 43, 38.4076, 53.2337, 53.0379, 6.0785, 12.1392, 12.1212, 20.6362, 41.0945, 40.9167
Test 43, 27.5201, 54.0957, 53.1513, 6.4174, 12.4740, 12.1132, 21.1027, 41.6217, 41.0380 
Train 44, 38.3339, 53.1601, 53.0042, 6.0456, 12.0929, 12.0948, 20.6124, 41.0671, 40.9094
Test 44, 27.6458, 54.0895, 52.8874, 6.4817, 12.5096, 12.0558, 21.1641, 41.5799, 40.8316 
Train 45, 38.2575, 53.0317, 52.8618, 6.0163, 12.0029, 11.9732, 20.5845, 41.0288, 40.8886
Test 45, 27.5322, 53.9901, 52.9158, 6.4358, 12.4031, 11.9345, 21.0964, 41.5870, 40.9813 
Train 46, 38.2328, 52.9419, 52.7295, 5.9864, 11.9555, 11.9382, 20.5907, 40.9864, 40.7913
Test 46, 27.3708, 53.6732, 52.6048, 6.2959, 12.2416, 11.8913, 21.0749, 41.4317, 40.7135 
Train 47, 38.1372, 52.8942, 52.7641, 5.9697, 11.9156, 11.8919, 20.5425, 40.9786, 40.8721
Test 47, 27.3018, 53.6092, 52.6149, 6.2243, 12.1652, 11.8818, 21.0775, 41.4440, 40.7332 
Train 48, 38.1039, 52.7837, 52.6041, 5.9386, 11.8677, 11.8582, 20.5430, 40.9160, 40.7459
Test 48, 27.3377, 53.6261, 52.5767, 6.2279, 12.1257, 11.7955, 21.1098, 41.5004, 40.7812 
Train 49, 38.0623, 52.7016, 52.5108, 5.9072, 11.7870, 11.7596, 20.5390, 40.9145, 40.7511
Test 49, 27.3324, 53.6077, 52.5507, 6.2650, 12.1339, 11.7379, 21.0674, 41.4738, 40.8128 
Train 50, 38.0303, 52.5980, 52.3528, 5.8907, 11.7473, 11.7131, 20.5308, 40.8507, 40.6397
Test 50, 27.3428, 53.5914, 52.4973, 6.2632, 12.1224, 11.7185, 21.0796, 41.4690, 40.7788 
Train 51, 37.9469, 52.5502, 52.3770, 5.8654, 11.7042, 11.6776, 20.4963, 40.8460, 40.6994
Test 51, 27.2767, 53.5174, 52.4814, 6.2304, 12.0506, 11.6405, 21.0463, 41.4667, 40.8409 
Train 52, 37.9058, 52.4925, 52.3269, 5.8413, 11.6592, 11.6358, 20.4877, 40.8333, 40.6912
Test 52, 27.1531, 53.2858, 52.2656, 6.0709, 11.8755, 11.6092, 21.0821, 41.4103, 40.6564 
Train 53, 37.8652, 52.3867, 52.1776, 5.8205, 11.6094, 11.5779, 20.4774, 40.7773, 40.5997
Test 53, 27.0279, 53.1449, 52.2340, 6.0813, 11.8674, 11.5721, 20.9465, 41.2775, 40.6618 
Train 54, 37.8249, 52.3104, 52.0921, 5.7917, 11.5602, 11.5370, 20.4726, 40.7502, 40.5551
Test 54, 27.1421, 53.2093, 52.1344, 6.1670, 11.9166, 11.4992, 20.9750, 41.2926, 40.6352 
Train 55, 37.7503, 52.2910, 52.1532, 5.7792, 11.5376, 11.5168, 20.4352, 40.7534, 40.6364
Test 55, 27.1449, 53.1851, 52.0805, 6.1551, 11.8848, 11.4594, 20.9898, 41.3004, 40.6211 
Train 56, 37.7281, 52.2085, 52.0271, 5.7587, 11.4899, 11.4623, 20.4363, 40.7187, 40.5648
Test 56, 27.0677, 53.1050, 52.0748, 6.0350, 11.7555, 11.4410, 21.0327, 41.3496, 40.6338 
Train 57, 37.6626, 52.1788, 52.0607, 5.7409, 11.4548, 11.4278, 20.4075, 40.7240, 40.6329
Test 57, 27.0652, 53.0478, 51.9652, 6.1258, 11.8227, 11.3938, 20.9394, 41.2252, 40.5714 
Train 58, 37.6487, 52.0659, 51.8623, 5.7206, 11.4051, 11.3690, 20.4142, 40.6608, 40.4932
Test 58, 27.1381, 53.0882, 51.9002, 6.1186, 11.8070, 11.3768, 21.0195, 41.2812, 40.5234 
Train 59, 37.6295, 52.0084, 51.7756, 5.7079, 11.4019, 11.3879, 20.4127, 40.6065, 40.3877
Test 59, 26.9494, 52.8465, 51.7941, 6.0038, 11.6825, 11.3574, 20.9457, 41.1640, 40.4367 
Train 60, 37.5629, 51.9311, 51.7193, 5.6843, 11.3371, 11.3055, 20.3872, 40.5941, 40.4138
Test 60, 27.1093, 53.0842, 51.9498, 6.0963, 11.7461, 11.2996, 21.0131, 41.3382, 40.6502 
Train 61, 37.5379, 51.9360, 51.7627, 5.6755, 11.3211, 11.2910, 20.3791, 40.6149, 40.4717
Test 61, 26.7695, 52.7236, 51.9082, 5.8517, 11.4786, 11.2538, 20.9178, 41.2450, 40.6544 
Train 62, 37.5031, 51.8534, 51.6526, 5.6544, 11.2761, 11.2434, 20.3727, 40.5773, 40.4092
Test 62, 26.9371, 52.8647, 51.8552, 6.0062, 11.6323, 11.2521, 20.9310, 41.2325, 40.6030 
Train 63, 37.4418, 51.8001, 51.6351, 5.6365, 11.2576, 11.2422, 20.3460, 40.5425, 40.3929
Test 63, 26.8147, 52.6781, 51.7268, 5.9126, 11.5288, 11.2325, 20.9021, 41.1492, 40.4943 
Train 64, 37.3963, 51.7617, 51.6258, 5.6173, 11.2131, 11.1916, 20.3315, 40.5486, 40.4341
Test 64, 27.0106, 52.8710, 51.7209, 5.9915, 11.5883, 11.1936, 21.0190, 41.2827, 40.5273 
Train 65, 37.3827, 51.7102, 51.5425, 5.6076, 11.1809, 11.1466, 20.3313, 40.5293, 40.3960
Test 65, 26.7770, 52.6206, 51.6873, 5.9313, 11.4924, 11.1222, 20.8457, 41.1282, 40.5651 
Train 66, 37.3445, 51.6634, 51.5069, 5.5893, 11.1457, 11.1129, 20.3207, 40.5177, 40.3940
Test 66, 26.7808, 52.5435, 51.5255, 5.8782, 11.4195, 11.0826, 20.9026, 41.1240, 40.4429 
Train 67, 37.3184, 51.6171, 51.4501, 5.5784, 11.1214, 11.0861, 20.3137, 40.4957, 40.3639
Test 67, 26.8850, 52.6127, 51.4554, 5.9680, 11.4988, 11.0616, 20.9170, 41.1139, 40.3938 
Train 68, 37.2655, 51.5776, 51.4491, 5.5594, 11.0900, 11.0613, 20.2937, 40.4876, 40.3878
Test 68, 26.7929, 52.6370, 51.6882, 5.9040, 11.4288, 11.0497, 20.8889, 41.2082, 40.6386 
Train 69, 37.2469, 51.5501, 51.4200, 5.5486, 11.0644, 11.0317, 20.2915, 40.4857, 40.3883
Test 69, 26.7156, 52.4940, 51.5569, 5.8420, 11.3775, 11.0710, 20.8736, 41.1165, 40.4859 
Train 70, 37.1936, 51.5009, 51.4001, 5.5320, 11.0332, 11.0023, 20.2688, 40.4677, 40.3978
Test 70, 26.7632, 52.4865, 51.4467, 5.8471, 11.3166, 10.9389, 20.9161, 41.1699, 40.5078 
Train 71, 37.1759, 51.4654, 51.3553, 5.5209, 11.0056, 10.9693, 20.2668, 40.4598, 40.3860
