Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 1, 127.7149, 164.4753, 147.5842, 16.6299, 36.3522, 39.4447, 74.0533, 128.1230, 108.1395
Test 1, 48.0273, 90.8443, 85.6340, 14.9922, 32.8000, 35.6155, 33.0351, 58.0443, 50.0185 
Train 2, 68.6330, 100.6848, 99.4716, 15.5841, 29.8144, 28.4607, 35.3650, 70.8704, 71.0109
Test 2, 38.5490, 74.1479, 71.1979, 13.3474, 27.2638, 27.8328, 25.2016, 46.8841, 43.3651 
Train 3, 54.5519, 78.9745, 76.9522, 12.3941, 24.4052, 24.0222, 28.1042, 54.5693, 52.9301
Test 3, 34.3704, 65.7304, 62.7200, 10.9239, 22.2470, 22.6461, 23.4464, 43.4834, 40.0739 
Train 4, 53.3911, 73.5158, 68.4679, 11.0661, 21.8034, 21.4746, 28.2158, 51.7124, 46.9933
Test 4, 33.0006, 63.5343, 61.0675, 10.0401, 20.2676, 20.4549, 22.9605, 43.2668, 40.6126 
Train 5, 50.7333, 68.0115, 61.5557, 10.2373, 20.0650, 19.6554, 26.9963, 47.9465, 41.9003
Test 5, 31.7692, 61.5725, 59.6066, 9.2050, 18.5033, 18.5965, 22.5642, 43.0692, 41.0101 
Train 6, 48.5028, 67.0036, 62.8870, 9.6782, 18.4102, 17.4641, 25.8819, 48.5934, 45.4230
Test 6, 31.2273, 60.6330, 58.8114, 8.7979, 17.5434, 17.4910, 22.4295, 43.0896, 41.3204 
Train 7, 48.9772, 66.1463, 60.7528, 9.3586, 18.4154, 18.1136, 26.4113, 47.7309, 42.6392
Test 7, 31.1890, 60.4889, 58.5997, 8.9372, 17.4207, 16.9670, 22.2518, 43.0682, 41.6326 
Train 8, 47.2578, 66.0704, 63.3379, 8.6936, 16.8585, 16.3298, 25.7078, 49.2118, 47.0081
Test 8, 30.3200, 59.2522, 57.8644, 8.2396, 16.2833, 16.0874, 22.0804, 42.9689, 41.7770 
Train 9, 45.5799, 64.2118, 61.8504, 8.7047, 17.0020, 16.5946, 24.5818, 47.2097, 45.2557
Test 9, 30.2721, 58.9476, 57.3509, 8.0430, 15.5816, 15.0773, 22.2291, 43.3659, 42.2736 
Train 10, 47.0088, 63.4856, 58.7580, 8.3082, 15.9611, 15.3059, 25.7985, 47.5245, 43.4521
Test 10, 29.7170, 57.9734, 56.5126, 7.6135, 14.8542, 14.4813, 22.1035, 43.1192, 42.0314 
Train 11, 43.1690, 62.8935, 62.9910, 7.8621, 15.2822, 14.8402, 23.5359, 47.6113, 48.1509
Test 11, 29.5522, 57.7653, 56.4261, 7.5163, 14.5394, 14.0462, 22.0359, 43.2259, 42.3799 
Train 12, 44.5188, 63.3884, 62.2732, 7.7245, 14.7960, 14.1430, 24.5273, 48.5924, 48.1303
Test 12, 29.4392, 57.6158, 56.3534, 7.3814, 14.2069, 13.6511, 22.0577, 43.4089, 42.7023 
Train 13, 48.4745, 64.9286, 59.8900, 8.0085, 15.1548, 14.2927, 26.9751, 49.7738, 45.5973
Test 13, 29.2135, 57.1458, 55.8646, 7.1837, 13.8624, 13.3573, 22.0298, 43.2834, 42.5072 
Train 14, 43.9539, 62.4335, 61.3562, 7.3654, 14.2707, 13.8104, 24.3899, 48.1628, 47.5458
Test 14, 29.3488, 57.2283, 55.7590, 7.2635, 13.8402, 13.1536, 22.0854, 43.3881, 42.6054 
Train 15, 41.9877, 62.1217, 63.1438, 7.6822, 14.4887, 13.6130, 22.8675, 47.6329, 49.5308
Test 15, 29.3607, 57.1129, 55.5045, 7.2034, 13.6279, 12.8490, 22.1573, 43.4850, 42.6555 
Train 16, 47.4263, 62.6397, 57.1407, 7.3629, 13.9416, 13.1575, 26.7065, 48.6980, 43.9832
Test 16, 29.1681, 56.6705, 55.0047, 7.0419, 13.3684, 12.6531, 22.1263, 43.3020, 42.3516 
Train 17, 45.4676, 63.0227, 60.5579, 7.3028, 13.7031, 12.8008, 25.4410, 49.3196, 47.7572
Test 17, 29.0191, 56.3857, 54.7332, 6.9071, 13.1393, 12.4643, 22.1120, 43.2464, 42.2689 
Train 18, 45.9627, 62.5048, 59.0984, 6.9486, 13.4579, 13.0186, 26.0070, 49.0469, 46.0798
Test 18, 29.0396, 56.0778, 54.0764, 6.8482, 13.0164, 12.3364, 22.1914, 43.0614, 41.7400 
Train 19, 46.3899, 62.9662, 59.5176, 6.8511, 13.1575, 12.6128, 26.3563, 49.8087, 46.9048
Test 19, 29.0316, 55.8405, 53.6177, 6.7704, 12.8772, 12.2136, 22.2612, 42.9632, 41.4042 
Train 20, 43.0466, 63.5258, 64.8741, 7.1798, 13.3372, 12.3148, 23.9090, 50.1887, 52.5593
Test 20, 29.0994, 55.9125, 53.6262, 6.8109, 12.8712, 12.1207, 22.2885, 43.0413, 41.5055 
Train 21, 43.6530, 62.2701, 61.8554, 6.7282, 13.0359, 12.6155, 24.6142, 49.2342, 49.2399
Test 21, 29.2653, 56.1409, 53.7513, 6.8895, 12.8880, 11.9969, 22.3758, 43.2529, 41.7543 
Train 22, 43.1945, 61.1415, 60.0575, 6.9557, 13.0147, 12.1179, 24.1571, 48.1269, 47.9396
Test 22, 29.1052, 56.0963, 53.9824, 6.7276, 12.6723, 11.8894, 22.3775, 43.4240, 42.0930 
Train 23, 43.3613, 60.0698, 57.9582, 6.5570, 12.8524, 12.5909, 24.5337, 47.2173, 45.3672
Test 23, 28.9858, 56.1553, 54.3390, 6.5885, 12.4445, 11.7120, 22.3973, 43.7108, 42.6270 
Train 24, 40.5529, 58.6570, 58.7246, 6.7852, 12.6693, 11.7682, 22.5095, 45.9877, 46.9564
Test 24, 28.4241, 55.6792, 54.5103, 6.2126, 12.0128, 11.6004, 22.2115, 43.6665, 42.9100 
Train 25, 42.2705, 60.8826, 61.1862, 6.3347, 12.3667, 12.0640, 23.9547, 48.5158, 49.1222
Test 25, 29.0731, 56.5286, 54.9109, 6.6583, 12.4074, 11.4982, 22.4149, 44.1212, 43.4127 
Train 26, 40.8923, 59.1484, 59.3946, 6.5774, 13.0217, 12.8888, 22.8738, 46.1267, 46.5059
Test 26, 28.6593, 56.1178, 54.9170, 6.3186, 11.9960, 11.3549, 22.3407, 44.1218, 43.5621 
Train 27, 43.4548, 60.5655, 58.7771, 6.6310, 12.5026, 11.7432, 24.5460, 48.0629, 47.0339
Test 27, 28.7243, 56.2174, 54.9861, 6.4033, 12.0206, 11.2346, 22.3211, 44.1968, 43.7515 
Train 28, 42.9550, 62.1922, 62.6637, 6.6801, 12.4082, 11.4560, 24.1802, 49.7840, 51.2077
Test 28, 28.3456, 55.9205, 55.1497, 6.1749, 11.8300, 11.3103, 22.1707, 44.0904, 43.8394 
Train 29, 42.0234, 62.2015, 64.0387, 6.5081, 12.4779, 11.9396, 23.6741, 49.7236, 52.0991
Test 29, 28.6349, 56.0330, 54.7963, 6.2465, 11.8540, 11.2151, 22.3884, 44.1790, 43.5813 
Train 30, 46.1524, 62.7490, 59.7670, 6.3021, 12.4990, 12.3937, 26.5634, 50.2500, 47.3733
Test 30, 28.4490, 55.7797, 54.6613, 6.1333, 11.6983, 11.1302, 22.3158, 44.0813, 43.5311 
Train 31, 44.2990, 62.2563, 61.1691, 6.4249, 12.1551, 11.4604, 25.2469, 50.1013, 49.7087
Test 31, 28.2135, 55.5646, 54.7022, 5.9591, 11.5030, 11.0877, 22.2543, 44.0616, 43.6145 
Train 32, 40.1354, 59.1433, 60.4042, 6.5596, 12.3189, 11.5186, 22.3816, 46.8244, 48.8856
Test 32, 28.6367, 55.9413, 54.6092, 6.2200, 11.7587, 11.0775, 22.4168, 44.1826, 43.5316 
Train 33, 41.7595, 61.5745, 63.3385, 6.2056, 12.1315, 11.8520, 23.6997, 49.4430, 51.4866
Test 33, 28.3705, 55.6847, 54.6283, 6.0406, 11.5941, 11.1070, 22.3299, 44.0905, 43.5213 
Train 34, 45.4502, 64.1011, 63.1919, 6.6254, 12.1202, 10.9896, 25.8797, 51.9808, 52.2022
Test 34, 28.3245, 55.7214, 54.7938, 5.9910, 11.5115, 11.0409, 22.3335, 44.2099, 43.7528 
Train 35, 42.1988, 59.4002, 58.4040, 6.2067, 12.0204, 11.6272, 23.9914, 47.3798, 46.7768
Test 35, 28.3232, 55.5999, 54.5535, 5.9539, 11.4498, 10.9919, 22.3693, 44.1501, 43.5616 
Train 36, 41.7836, 60.9266, 62.0765, 6.1066, 12.2754, 12.3376, 23.7817, 48.6512, 49.7389
Test 36, 28.4430, 55.8085, 54.7310, 6.1012, 11.6251, 11.0478, 22.3418, 44.1834, 43.6833 
Train 37, 42.8881, 61.4772, 61.6143, 6.2432, 12.0912, 11.6961, 24.4269, 49.3860, 49.9182
Test 37, 28.2222, 55.5976, 54.7507, 5.9064, 11.3900, 10.9672, 22.3158, 44.2076, 43.7835 
Train 38, 37.7174, 58.5574, 62.6063, 6.3358, 12.3629, 12.0541, 20.9185, 46.1946, 50.5522
Test 38, 28.2415, 55.5572, 54.6315, 5.9075, 11.4027, 10.9903, 22.3339, 44.1545, 43.6412 
Train 39, 44.1867, 60.1041, 57.0671, 6.3472, 12.1194, 11.5443, 25.2233, 47.9847, 45.5228
Test 39, 28.4730, 55.6780, 54.4100, 6.0748, 11.5188, 10.8879, 22.3982, 44.1592, 43.5220 
Train 40, 45.1333, 62.5528, 60.3702, 6.8481, 12.4253, 11.1544, 25.5197, 50.1276, 49.2158
Test 40, 28.2430, 55.5543, 54.6226, 5.9077, 11.3239, 10.8324, 22.3353, 44.2304, 43.7902 
Train 41, 44.3348, 62.1653, 60.9789, 6.3675, 12.1259, 11.5168, 25.3084, 50.0395, 49.4621
Test 41, 28.4349, 55.7070, 54.5442, 6.0239, 11.4605, 10.8732, 22.4110, 44.2466, 43.6710 
Train 42, 43.8770, 61.3271, 59.7400, 6.6256, 12.0767, 10.9022, 24.8315, 49.2504, 48.8377
Test 42, 28.2672, 55.5557, 54.5770, 5.9278, 11.3686, 10.8817, 22.3394, 44.1870, 43.6953 
Train 43, 44.1970, 62.4851, 61.6914, 6.5337, 12.4258, 11.7843, 25.1057, 50.0592, 49.9071
Test 43, 28.5379, 55.7191, 54.3625, 6.1591, 11.5741, 10.8300, 22.3788, 44.1450, 43.5325 
Train 44, 42.1778, 61.1182, 61.8571, 6.2217, 11.9166, 11.3898, 23.9680, 49.2016, 50.4672
Test 44, 28.3031, 55.5217, 54.4371, 5.9027, 11.3228, 10.8401, 22.4004, 44.1989, 43.5971 
Train 45, 44.8647, 63.3636, 62.8905, 6.0359, 11.8521, 11.6323, 25.8824, 51.5115, 51.2581
Test 45, 28.2685, 55.4803, 54.4237, 5.9116, 11.3058, 10.7883, 22.3568, 44.1745, 43.6353 
Train 46, 41.6238, 60.1681, 60.7770, 6.0986, 11.7306, 11.2640, 23.6810, 48.4375, 49.5130
Test 46, 28.1500, 55.3252, 54.3504, 5.8320, 11.2117, 10.7592, 22.3180, 44.1136, 43.5912 
Train 47, 43.3231, 61.2329, 60.5897, 6.1773, 11.8872, 11.4198, 24.7607, 49.3456, 49.1699
Test 47, 28.4072, 55.5953, 54.3762, 5.9536, 11.3423, 10.7774, 22.4536, 44.2530, 43.5988 
Train 48, 40.8920, 58.5031, 58.3515, 6.2053, 11.8373, 11.2640, 23.1220, 46.6658, 47.0876
Test 48, 28.1667, 55.2844, 54.2354, 5.7853, 11.1994, 10.8282, 22.3814, 44.0850, 43.4072 
Train 49, 40.5098, 59.1033, 60.0566, 6.2148, 11.7726, 11.1155, 22.8602, 47.3308, 48.9411
Test 49, 28.5891, 55.6218, 54.0654, 6.1311, 11.5749, 10.8875, 22.4580, 44.0469, 43.1779 
Train 50, 42.0781, 61.0188, 61.8681, 6.1080, 11.7036, 11.1911, 23.9767, 49.3152, 50.6770
Test 50, 28.4842, 55.6184, 54.2683, 6.0239, 11.4285, 10.8091, 22.4603, 44.1898, 43.4592 
Train 51, 38.7275, 60.5557, 65.4035, 6.1151, 11.8037, 11.3772, 21.7389, 48.7520, 54.0263
Test 51, 28.4134, 55.5645, 54.3022, 5.9701, 11.3883, 10.8364, 22.4433, 44.1762, 43.4658 
Train 52, 42.1881, 59.1922, 57.8796, 6.3909, 12.0719, 11.3620, 23.8616, 47.1203, 46.5175
Test 52, 28.3608, 55.4899, 54.2582, 5.9211, 11.3314, 10.8205, 22.4397, 44.1585, 43.4377 
Train 53, 44.8386, 61.8254, 59.8184, 6.0811, 11.8077, 11.4533, 25.8352, 50.0177, 48.3650
Test 53, 28.4185, 55.5867, 54.3365, 5.9603, 11.3137, 10.7068, 22.4582, 44.2730, 43.6296 
Train 54, 40.4979, 60.4305, 62.6901, 6.2708, 11.6814, 10.8212, 22.8147, 48.7491, 51.8689
Test 54, 28.3133, 55.4501, 54.2736, 5.8853, 11.2593, 10.7482, 22.4280, 44.1908, 43.5254 
Train 55, 39.8538, 57.7053, 57.9421, 6.5044, 11.9637, 10.9185, 22.2299, 45.7417, 47.0236
Test 55, 28.2855, 55.4306, 54.2902, 5.9120, 11.2695, 10.7151, 22.3735, 44.1611, 43.5751 
Train 56, 40.6210, 60.5644, 62.8194, 6.2306, 12.0988, 11.7364, 22.9240, 48.4655, 51.0830
Test 56, 28.2385, 55.3265, 54.1759, 5.8273, 11.2087, 10.7628, 22.4113, 44.1178, 43.4131 
Train 57, 43.4272, 60.9801, 59.6320, 6.6485, 11.7812, 10.2654, 24.5156, 49.1989, 49.3666
Test 57, 28.1856, 55.3006, 54.2301, 5.8092, 11.1467, 10.6750, 22.3764, 44.1539, 43.5551 
