Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 1, 154.7311, 162.5786, 106.3562, 18.7517, 38.2609, 39.0184, 90.6489, 124.3177, 67.3377
Test 1, 58.5098, 103.6796, 90.3396, 15.7246, 34.8541, 38.2591, 42.7853, 68.8255, 52.0804 
Train 2, 94.9512, 128.5104, 118.5447, 17.8153, 37.4059, 39.1811, 51.4227, 91.1045, 79.3636
Test 2, 45.6732, 89.7059, 88.0654, 15.3690, 32.4328, 34.1276, 30.3042, 57.2731, 53.9378 
Train 3, 73.5216, 106.0612, 103.1545, 16.4107, 31.6874, 30.5534, 38.0733, 74.3738, 72.6010
Test 3, 38.2950, 75.9503, 75.3107, 13.2199, 26.9621, 27.4842, 25.0750, 48.9882, 47.8265 
Train 4, 58.5238, 85.2588, 83.1942, 13.9392, 26.9842, 26.0900, 29.7225, 58.2746, 57.1042
Test 4, 35.6675, 70.3438, 69.3527, 12.1502, 24.2953, 24.2901, 23.5173, 46.0485, 45.0626 
Train 5, 56.3201, 76.5479, 69.6078, 12.5939, 24.7176, 24.2474, 29.1501, 51.8303, 45.3603
Test 5, 34.0772, 67.0355, 65.9164, 11.0838, 22.3722, 22.5768, 22.9934, 44.6632, 43.3396 
Train 6, 54.8100, 74.5357, 67.6653, 12.4909, 23.3125, 21.6434, 28.2122, 51.2231, 46.0219
Test 6, 33.0493, 64.8298, 63.5610, 10.2479, 20.8813, 21.2668, 22.8014, 43.9485, 42.2942 
Train 7, 52.9103, 72.2623, 66.2479, 11.5960, 22.3585, 21.5250, 27.5423, 49.9038, 44.7229
Test 7, 32.1543, 63.1529, 61.9972, 9.6428, 19.7890, 20.2925, 22.5115, 43.3639, 41.7047 
Train 8, 50.9790, 72.0881, 69.1290, 10.6147, 21.0553, 20.8813, 26.9090, 51.0328, 48.2477
Test 8, 31.6729, 62.4506, 61.5553, 9.2907, 19.2462, 19.9112, 22.3822, 43.2043, 41.6441 
Train 9, 49.1972, 68.8706, 65.1908, 10.4327, 21.0959, 21.3265, 25.8425, 47.7746, 43.8643
Test 9, 31.6206, 61.8633, 60.4854, 9.1895, 18.7275, 19.0760, 22.4311, 43.1358, 41.4093 
Train 10, 48.5349, 67.5805, 63.3511, 10.6470, 20.1793, 19.0646, 25.2580, 47.4012, 44.2864
Test 10, 31.3240, 61.2688, 59.8896, 8.9310, 18.1751, 18.4883, 22.3931, 43.0937, 41.4014 
Train 11, 48.2225, 67.5077, 64.2113, 9.7627, 18.9954, 18.4654, 25.6393, 48.5122, 45.7458
Test 11, 30.8347, 60.6459, 59.6224, 8.5979, 17.4817, 17.7676, 22.2367, 43.1641, 41.8548 
Train 12, 45.4992, 66.8244, 66.4689, 9.7733, 18.6229, 17.6991, 23.8166, 48.2015, 48.7698
Test 12, 30.8063, 60.3178, 59.0231, 8.5511, 17.1415, 17.1808, 22.2552, 43.1763, 41.8423 
Train 13, 49.2525, 67.0516, 61.9855, 9.6736, 18.3903, 17.4336, 26.3853, 48.6613, 44.5519
Test 13, 30.4660, 59.8163, 58.7006, 8.3073, 16.6612, 16.7078, 22.1587, 43.1551, 41.9928 
Train 14, 46.8303, 66.0570, 63.3590, 9.4737, 17.6864, 16.4254, 24.9038, 48.3706, 46.9336
Test 14, 30.2933, 59.5153, 58.4441, 8.1466, 16.2982, 16.3031, 22.1467, 43.2172, 42.1410 
Train 15, 43.4633, 65.1261, 66.2487, 9.0810, 17.0217, 15.8812, 22.9207, 48.1045, 50.3674
Test 15, 30.1537, 59.2034, 58.0993, 7.9892, 15.9327, 15.8870, 22.1645, 43.2706, 42.2123 
Train 16, 50.1698, 66.0993, 59.4138, 8.8397, 16.8871, 16.0946, 27.5527, 49.2123, 43.3191
Test 16, 29.9684, 58.7986, 57.6605, 7.8654, 15.6257, 15.5207, 22.1030, 43.1729, 42.1398 
Train 17, 48.5999, 66.8851, 63.1938, 8.6669, 16.5497, 15.7656, 26.6213, 50.3354, 47.4281
Test 17, 29.7931, 58.4830, 57.3798, 7.7535, 15.3594, 15.2117, 22.0395, 43.1236, 42.1681 
Train 18, 46.2410, 64.1976, 61.2259, 8.2749, 16.1631, 15.7765, 25.3098, 48.0345, 45.4494
Test 18, 29.7204, 58.2123, 56.9837, 7.6532, 15.1333, 14.9601, 22.0672, 43.0790, 42.0236 
Train 19, 47.0488, 64.6882, 61.1875, 8.1884, 15.9986, 15.6204, 25.9060, 48.6896, 45.5671
Test 19, 29.5549, 57.8805, 56.6513, 7.5012, 14.8783, 14.7541, 22.0537, 43.0023, 41.8971 
Train 20, 46.6230, 66.7489, 65.5756, 8.6396, 16.0883, 14.8975, 25.3215, 50.6606, 50.6781
Test 20, 29.5283, 57.6898, 56.3230, 7.4927, 14.7125, 14.4395, 22.0356, 42.9773, 41.8834 
Train 21, 43.0101, 64.9010, 66.9508, 8.2590, 15.6409, 14.7636, 23.1665, 49.2601, 52.1872
Test 21, 29.6540, 57.6467, 55.9854, 7.5144, 14.6722, 14.3155, 22.1395, 42.9745, 41.6699 
Train 22, 47.1842, 64.2511, 60.3910, 7.8009, 15.0450, 14.4882, 26.2547, 49.2061, 45.9027
Test 22, 29.4543, 57.4371, 55.9654, 7.3697, 14.4605, 14.1815, 22.0846, 42.9766, 41.7839 
Train 23, 43.7910, 61.4017, 59.2796, 7.7065, 15.1924, 14.9719, 24.0554, 46.2092, 44.3077
Test 23, 29.3201, 57.2270, 55.8138, 7.2554, 14.2613, 14.0118, 22.0648, 42.9658, 41.8020 
Train 24, 45.3181, 63.3128, 60.9830, 7.8304, 14.8511, 14.0414, 24.9909, 48.4617, 46.9415
Test 24, 29.2361, 57.0889, 55.7055, 7.2531, 14.1201, 13.7341, 21.9830, 42.9687, 41.9714 
Train 25, 46.8338, 65.6922, 63.7830, 7.7371, 14.7924, 14.1105, 26.0635, 50.8998, 49.6725
Test 25, 29.4216, 57.0939, 55.3444, 7.3249, 14.1414, 13.6330, 22.0968, 42.9525, 41.7115 
Train 26, 43.5865, 62.2714, 61.4279, 7.5026, 15.0627, 15.1203, 24.0549, 47.2087, 46.3076
Test 26, 29.3579, 57.0593, 55.4029, 7.2449, 13.9892, 13.4887, 22.1130, 43.0701, 41.9142 
Train 27, 44.1749, 61.3645, 58.7953, 7.5547, 14.4140, 13.7186, 24.4122, 46.9505, 45.0767
Test 27, 29.1046, 56.6901, 55.1710, 7.0726, 13.7048, 13.2644, 22.0320, 42.9853, 41.9066 
Train 28, 42.2605, 61.8905, 62.5638, 7.3080, 14.2025, 13.7888, 23.3005, 47.6880, 48.7750
Test 28, 29.2059, 56.7807, 55.1497, 7.2022, 13.7907, 13.1770, 22.0037, 42.9900, 41.9727 
Train 29, 45.5428, 63.9482, 62.1147, 7.5911, 14.3978, 13.6135, 25.2998, 49.5504, 48.5012
Test 29, 28.9788, 56.3386, 54.7195, 6.9687, 13.4733, 13.0093, 22.0102, 42.8653, 41.7102 
Train 30, 46.9680, 64.0986, 60.8656, 7.0656, 13.9967, 13.8622, 26.6002, 50.1019, 47.0034
Test 30, 28.9248, 56.4355, 55.0213, 6.9026, 13.3619, 12.9185, 22.0223, 43.0736, 42.1027 
Train 31, 45.9845, 64.5326, 62.8581, 7.3455, 14.0751, 13.4592, 25.7580, 50.4575, 49.3988
Test 31, 28.8380, 56.2151, 54.7543, 6.8608, 13.2451, 12.7686, 21.9772, 42.9701, 41.9856 
Train 32, 42.4993, 61.6402, 61.7756, 7.2622, 13.9371, 13.3498, 23.4902, 47.7031, 48.4258
Test 32, 29.0714, 56.5003, 54.8578, 7.0111, 13.3783, 12.7345, 22.0603, 43.1220, 42.1234 
Train 33, 43.7015, 62.2965, 61.5175, 7.2139, 14.0816, 13.7356, 24.3239, 48.2148, 47.7819
Test 33, 28.9622, 56.2744, 54.6245, 6.8909, 13.2712, 12.7605, 22.0713, 43.0033, 41.8640 
Train 34, 44.8511, 65.2806, 65.7508, 7.5178, 13.8272, 12.6188, 24.8874, 51.4534, 53.1321
Test 34, 29.0451, 56.2866, 54.4830, 7.0128, 13.3271, 12.6287, 22.0323, 42.9595, 41.8543 
Train 35, 46.9633, 62.6401, 58.0622, 6.9049, 13.8774, 13.9451, 26.7042, 48.7627, 44.1171
Test 35, 29.0361, 56.3597, 54.6472, 7.0085, 13.3693, 12.7216, 22.0276, 42.9903, 41.9256 
Train 36, 44.1657, 61.3960, 59.1285, 7.1677, 14.3463, 14.3571, 24.6640, 47.0497, 44.7714
